"nwis_id","long_name"
"nwis_01193050","CONNECTICUT RIVER AT MIDDLE HADDAM, CT"
"nwis_01388000","Ramapo River at Pompton Lakes NJ"
"nwis_01480617","West Branch Brandywine Creek at Modena, PA"
"nwis_01480870","East Branch Brandywine Creek below Downingtown, PA"
"nwis_01481000","Brandywine Creek at Chadds Ford, PA"
"nwis_02148315","WATEREE R. BL EASTOVER, SC"
"nwis_02156500","BROAD RIVER NEAR CARLISLE, SC"
"nwis_02160105","TYGER RIVER NEAR DELTA, SC"
"nwis_02160700","ENOREE RIVER AT WHITMIRE, SC"
"nwis_02266300","REEDY CREEK NEAR VINELAND, FL"
"nwis_02336410","NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA"
"nwis_02336728","UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA"
"nwis_02337170","CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA"
"nwis_02397530","COOSA RIVER AT STATE LINE, AL/GA"
"nwis_03098600","Mahoning River below West Ave at Youngstown OH"
"nwis_03293000","M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,"
"nwis_03302000","POND CREEK NEAR LOUISVILLE, KY"
"nwis_03597860","DUCK RIVER AT SHELBYVILLE, TN"
"nwis_040871488","WILSON PARK CK @ ST. LUKES HOSPITAL @ MILWAUKEE,WI"
"nwis_04121944","LITTLE MUSKEGON RIVER NEAR OAK GROVE, MI"
"nwis_04121970","MUSKEGON RIVER NEAR CROTON, MI"
"nwis_04124000","MANISTEE RIVER NEAR SHERMAN, MI"
"nwis_04124200","MANISTEE RIVER NEAR MESICK, MI"
"nwis_04125460","PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI"
"nwis_04125550","MANISTEE RIVER NEAR WELLSTON, MI"
"nwis_04136000","AU SABLE RIVER NEAR RED OAK, MI"
"nwis_04136500","AU SABLE RIVER AT MIO, MI"
"nwis_04136900","AU SABLE RIVER NEAR MC KINLEY, MI"
"nwis_04137005","AU SABLE RIVER NEAR CURTISVILLE, MI"
"nwis_04137500","AU SABLE RIVER NEAR AU SABLE, MI"
"nwis_04208000","Cuyahoga River at Independence OH"
"nwis_05435943","BADGER MILL CREEK AT VERONA, WI"
"nwis_06711565","SOUTH PLATTE RIVER AT ENGLEWOOD, CO."
"nwis_07106000","FOUNTAIN CREEK NEAR FOUNTAIN, CO."
"nwis_07109500","ARKANSAS RIVER NEAR AVONDALE, CO."
"nwis_07239450","North Canadian River near Calumet, OK"
"nwis_07241000","North Canadian River blw Lk Overholser nr OKC, OK"
"nwis_07241520","North Canadian River at Britton Rd at OKC, OK"
"nwis_07241550","North Canadian River near Harrah, OK"
"nwis_08049500","W Fk Trinity Rv at Grand Prairie, TX"
"nwis_08062500","Trinity Rv nr Rosser, TX"
"nwis_08065350","Trinity Rv nr Crockett, TX"
"nwis_08070200","E Fk San Jacinto Rv nr New Caney, TX"
"nwis_08181500","Medina Rv at San Antonio, TX"
"nwis_08181800","San Antonio Rv nr Elmendorf, TX"
"nwis_11126000","SANTA YNEZ R NR SANTA YNEZ CA"
"nwis_11447650","SACRAMENTO R A FREEPORT CA"
"nwis_14206950","FANNO CREEK AT DURHAM, OR"
