Title:,"Time Series, Area-Averaged of Surface pressure hourly 0.125 deg. [NLDAS Model (hourly)"
User Start Date:,2017-01-01T00:00:00Z
User End Date:,2023-06-01T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2017-01-01T00:00:00Z&endtime=2023-06-01T23:59:59Z&shape=state_dept_countries_2017/shp_232&&data=NLDAS_FORA0125_H_2_0_SWdown%2CNLDAS_FORA0125_H_2_0_PSurf&portal=GIOVANNI&format=json"
Fill Value (NLDAS_FORA0125_H_2_0_PSurf):, -9999

time, NLDAS_FORA0125_H_2_0_PSurf
2017-01-01 00:00:00,92539.9297
2017-01-01 01:00:00,92542.1484
2017-01-01 02:00:00,92544.375
2017-01-01 03:00:00,92546.6094
2017-01-01 04:00:00,92548.7891
2017-01-01 05:00:00,92550.9688
2017-01-01 06:00:00,92553.1562
2017-01-01 07:00:00,92565.8516
2017-01-01 08:00:00,92578.5469
2017-01-01 09:00:00,92591.2578
2017-01-01 10:00:00,92606.5469
2017-01-01 11:00:00,92621.8359
2017-01-01 12:00:00,92637.1328
2017-01-01 13:00:00,92652.1328
2017-01-01 14:00:00,92667.1328
2017-01-01 15:00:00,92682.1406
2017-01-01 16:00:00,92688.75
2017-01-01 17:00:00,92695.3672
2017-01-01 18:00:00,92702.0078
2017-01-01 19:00:00,92677.9922
2017-01-01 20:00:00,92653.9766
2017-01-01 21:00:00,92629.9688
2017-01-01 22:00:00,92645.7031
2017-01-01 23:00:00,92661.4453
2017-01-02 00:00:00,92677.1875
2017-01-02 01:00:00,92698.625
2017-01-02 02:00:00,92720.0703
2017-01-02 03:00:00,92741.5312
2017-01-02 04:00:00,92748.1875
2017-01-02 05:00:00,92754.8516
2017-01-02 06:00:00,92761.5156
2017-01-02 07:00:00,92755.9531
2017-01-02 08:00:00,92750.3828
2017-01-02 09:00:00,92744.8203
2017-01-02 10:00:00,92766.5391
2017-01-02 11:00:00,92788.2578
2017-01-02 12:00:00,92809.9844
2017-01-02 13:00:00,92840.9766
2017-01-02 14:00:00,92871.9688
2017-01-02 15:00:00,92902.9688
2017-01-02 16:00:00,92905.3359
2017-01-02 17:00:00,92907.7031
2017-01-02 18:00:00,92910.0938
2017-01-02 19:00:00,92878.8438
2017-01-02 20:00:00,92847.5938
2017-01-02 21:00:00,92816.3516
2017-01-02 22:00:00,92856.3672
2017-01-02 23:00:00,92896.3828
2017-01-03 00:00:00,92936.4141
2017-01-03 01:00:00,92928.1172
2017-01-03 02:00:00,92919.8203
2017-01-03 03:00:00,92911.5391
2017-01-03 04:00:00,92929.9062
2017-01-03 05:00:00,92948.2734
2017-01-03 06:00:00,92966.6484
2017-01-03 07:00:00,92956.4219
2017-01-03 08:00:00,92946.1875
2017-01-03 09:00:00,92935.9609
2017-01-03 10:00:00,92953.8359
2017-01-03 11:00:00,92971.6953
2017-01-03 12:00:00,92989.5703
2017-01-03 13:00:00,92998.6172
2017-01-03 14:00:00,93007.6641
2017-01-03 15:00:00,93016.7188
2017-01-03 16:00:00,93006.3906
2017-01-03 17:00:00,92996.0703
2017-01-03 18:00:00,92985.7656
2017-01-03 19:00:00,92957.6328
2017-01-03 20:00:00,92929.5
2017-01-03 21:00:00,92901.3828
2017-01-03 22:00:00,92913.1562
2017-01-03 23:00:00,92924.9297
2017-01-04 00:00:00,92936.7188
2017-01-04 01:00:00,92930.6094
2017-01-04 02:00:00,92924.5078
2017-01-04 03:00:00,92918.4141
2017-01-04 04:00:00,92913.5391
2017-01-04 05:00:00,92908.6641
2017-01-04 06:00:00,92903.7969
2017-01-04 07:00:00,92898.1016
2017-01-04 08:00:00,92892.4141
2017-01-04 09:00:00,92886.7344
2017-01-04 10:00:00,92886.0859
2017-01-04 11:00:00,92885.4297
2017-01-04 12:00:00,92884.7891
2017-01-04 13:00:00,92889.4688
2017-01-04 14:00:00,92894.1484
2017-01-04 15:00:00,92898.8281
2017-01-04 16:00:00,92913.6016
2017-01-04 17:00:00,92928.3828
2017-01-04 18:00:00,92943.1719
2017-01-04 19:00:00,92899.2578
2017-01-04 20:00:00,92855.3438
2017-01-04 21:00:00,92811.4375
2017-01-04 22:00:00,92817.4141
2017-01-04 23:00:00,92823.3906
2017-01-05 00:00:00,92829.375
2017-01-05 01:00:00,92820.5703
2017-01-05 02:00:00,92811.7812
2017-01-05 03:00:00,92803
2017-01-05 04:00:00,92813.4766
2017-01-05 05:00:00,92823.9609
2017-01-05 06:00:00,92834.4531
2017-01-05 07:00:00,92828.6641
2017-01-05 08:00:00,92822.8828
2017-01-05 09:00:00,92817.1016
2017-01-05 10:00:00,92836.9688
2017-01-05 11:00:00,92856.8359
2017-01-05 12:00:00,92876.7188
2017-01-05 13:00:00,92899.6562
2017-01-05 14:00:00,92922.5938
2017-01-05 15:00:00,92945.5391
2017-01-05 16:00:00,92960.9531
2017-01-05 17:00:00,92976.3906
2017-01-05 18:00:00,92991.8359
2017-01-05 19:00:00,92966.2812
2017-01-05 20:00:00,92940.7344
2017-01-05 21:00:00,92915.2031
2017-01-05 22:00:00,92906.1172
2017-01-05 23:00:00,92897.0312
2017-01-06 00:00:00,92887.9531
2017-01-06 01:00:00,92887.5312
2017-01-06 02:00:00,92887.1094
2017-01-06 03:00:00,92886.7109
2017-01-06 04:00:00,92918.1719
2017-01-06 05:00:00,92949.625
2017-01-06 06:00:00,92981.0938
2017-01-06 07:00:00,92981.5625
2017-01-06 08:00:00,92982.0312
2017-01-06 09:00:00,92982.5156
2017-01-06 10:00:00,93019.5234
2017-01-06 11:00:00,93056.5312
2017-01-06 12:00:00,93093.5469
2017-01-06 13:00:00,93151.3438
2017-01-06 14:00:00,93209.1328
2017-01-06 15:00:00,93266.9375
2017-01-06 16:00:00,93304.7344
2017-01-06 17:00:00,93342.5469
2017-01-06 18:00:00,93380.3828
2017-01-06 19:00:00,93371.9609
2017-01-06 20:00:00,93363.5469
2017-01-06 21:00:00,93355.1484
2017-01-06 22:00:00,93400.1484
2017-01-06 23:00:00,93445.1641
2017-01-07 00:00:00,93490.1797
2017-01-07 01:00:00,93523.5859
2017-01-07 02:00:00,93556.9922
2017-01-07 03:00:00,93590.4219
2017-01-07 04:00:00,93658.8906
2017-01-07 05:00:00,93727.3516
2017-01-07 06:00:00,93795.8203
2017-01-07 07:00:00,93828.3125
2017-01-07 08:00:00,93860.7969
2017-01-07 09:00:00,93893.2969
2017-01-07 10:00:00,93899.4375
2017-01-07 11:00:00,93905.5703
2017-01-07 12:00:00,93911.7188
2017-01-07 13:00:00,93953.9766
2017-01-07 14:00:00,93996.2344
2017-01-07 15:00:00,94038.5
2017-01-07 16:00:00,94058.7734
2017-01-07 17:00:00,94079.0625
2017-01-07 18:00:00,94099.3828
2017-01-07 19:00:00,94101.5781
2017-01-07 20:00:00,94103.7734
2017-01-07 21:00:00,94105.9844
2017-01-07 22:00:00,94099.0547
2017-01-07 23:00:00,94092.125
2017-01-08 00:00:00,94085.2031
2017-01-08 01:00:00,94076.8438
2017-01-08 02:00:00,94068.4766
2017-01-08 03:00:00,94060.125
2017-01-08 04:00:00,94086.0156
2017-01-08 05:00:00,94111.9062
2017-01-08 06:00:00,94137.8047
2017-01-08 07:00:00,94137.5391
2017-01-08 08:00:00,94137.2734
2017-01-08 09:00:00,94137.0234
2017-01-08 10:00:00,94116.9219
2017-01-08 11:00:00,94096.8203
2017-01-08 12:00:00,94076.7266
2017-01-08 13:00:00,94068.2656
2017-01-08 14:00:00,94059.8047
2017-01-08 15:00:00,94051.3516
2017-01-08 16:00:00,94052.5
2017-01-08 17:00:00,94053.6641
2017-01-08 18:00:00,94054.8438
2017-01-08 19:00:00,94013.9531
2017-01-08 20:00:00,93973.0625
2017-01-08 21:00:00,93932.1797
