Title:,"Time Series, Area-Averaged of Shortwave radiation flux downwards (surface) hourly 0.125 deg. [NLDAS (hourly)"
User Start Date:,2017-01-01T00:00:00Z
User End Date:,2023-06-01T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2017-01-01T00:00:00Z&endtime=2023-06-01T23:59:59Z&shape=state_dept_countries_2017/shp_232&&data=NLDAS_FORA0125_H_2_0_SWdown%2CNLDAS_FORA0125_H_2_0_PSurf&portal=GIOVANNI&format=json"
Fill Value (mean_NLDAS_FORA0125_H_2_0_SWdown):, -9999

time, mean_NLDAS_FORA0125_H_2_0_SWdown
2017-01-01 00:00:00,7.84936619
2017-01-01 01:00:00,0
2017-01-01 02:00:00,0
2017-01-01 03:00:00,0
2017-01-01 04:00:00,0
2017-01-01 05:00:00,0
2017-01-01 06:00:00,0
2017-01-01 07:00:00,0
2017-01-01 08:00:00,0
2017-01-01 09:00:00,0
2017-01-01 10:00:00,0
2017-01-01 11:00:00,0
2017-01-01 12:00:00,0
2017-01-01 13:00:00,6.63717794
2017-01-01 14:00:00,36.8727798
2017-01-01 15:00:00,112.20031
2017-01-01 16:00:00,197.86235
2017-01-01 17:00:00,271.979736
2017-01-01 18:00:00,324.022308
2017-01-01 19:00:00,329.305634
2017-01-01 20:00:00,302.698425
2017-01-01 21:00:00,225.441254
2017-01-01 22:00:00,142.386337
2017-01-01 23:00:00,62.2892113
2017-01-02 00:00:00,8.94822788
2017-01-02 01:00:00,0
2017-01-02 02:00:00,0
2017-01-02 03:00:00,0
2017-01-02 04:00:00,0
2017-01-02 05:00:00,0
2017-01-02 06:00:00,0
2017-01-02 07:00:00,0
2017-01-02 08:00:00,0
2017-01-02 09:00:00,0
2017-01-02 10:00:00,0
2017-01-02 11:00:00,0
2017-01-02 12:00:00,0
2017-01-02 13:00:00,6.62910748
2017-01-02 14:00:00,35.5155029
2017-01-02 15:00:00,101.358109
2017-01-02 16:00:00,178.331116
2017-01-02 17:00:00,245.286896
2017-01-02 18:00:00,290.999115
2017-01-02 19:00:00,297.849854
2017-01-02 20:00:00,275.6745
2017-01-02 21:00:00,211.550323
2017-01-02 22:00:00,135.886765
2017-01-02 23:00:00,59.6371193
2017-01-03 00:00:00,8.32771492
2017-01-03 01:00:00,0
2017-01-03 02:00:00,0
2017-01-03 03:00:00,0
2017-01-03 04:00:00,0
2017-01-03 05:00:00,0
2017-01-03 06:00:00,0
2017-01-03 07:00:00,0
2017-01-03 08:00:00,0
2017-01-03 09:00:00,0
2017-01-03 10:00:00,0
2017-01-03 11:00:00,0
2017-01-03 12:00:00,0
2017-01-03 13:00:00,5.57160473
2017-01-03 14:00:00,31.6887245
2017-01-03 15:00:00,96.3836975
2017-01-03 16:00:00,175.025375
2017-01-03 17:00:00,245.115051
2017-01-03 18:00:00,300.402283
2017-01-03 19:00:00,310.127197
2017-01-03 20:00:00,289.627716
2017-01-03 21:00:00,231.855759
2017-01-03 22:00:00,149.816864
2017-01-03 23:00:00,65.4824142
2017-01-04 00:00:00,9.60280418
2017-01-04 01:00:00,0
2017-01-04 02:00:00,0
2017-01-04 03:00:00,0
2017-01-04 04:00:00,0
2017-01-04 05:00:00,0
2017-01-04 06:00:00,0
2017-01-04 07:00:00,0
2017-01-04 08:00:00,0
2017-01-04 09:00:00,0
2017-01-04 10:00:00,0
2017-01-04 11:00:00,0
2017-01-04 12:00:00,0
2017-01-04 13:00:00,7.45699883
2017-01-04 14:00:00,42.9090004
2017-01-04 15:00:00,117.965645
2017-01-04 16:00:00,203.923309
2017-01-04 17:00:00,279.153961
2017-01-04 18:00:00,332.80249
2017-01-04 19:00:00,337.69101
2017-01-04 20:00:00,310.490875
2017-01-04 21:00:00,238.548767
2017-01-04 22:00:00,149.568512
2017-01-04 23:00:00,64.0842972
2017-01-05 00:00:00,9.24109077
2017-01-05 01:00:00,2.48065675e-07
2017-01-05 02:00:00,0
2017-01-05 03:00:00,0
2017-01-05 04:00:00,0
2017-01-05 05:00:00,0
2017-01-05 06:00:00,0
2017-01-05 07:00:00,0
2017-01-05 08:00:00,0
2017-01-05 09:00:00,0
2017-01-05 10:00:00,0
2017-01-05 11:00:00,0
2017-01-05 12:00:00,0
2017-01-05 13:00:00,9.36660004
2017-01-05 14:00:00,43.5158844
2017-01-05 15:00:00,107.733467
2017-01-05 16:00:00,188.301132
2017-01-05 17:00:00,260.904236
2017-01-05 18:00:00,305.075226
2017-01-05 19:00:00,313.568756
2017-01-05 20:00:00,291.51709
2017-01-05 21:00:00,227.003891
2017-01-05 22:00:00,147.50238
2017-01-05 23:00:00,67.619606
2017-01-06 00:00:00,11.1990404
2017-01-06 01:00:00,0.000274343824
2017-01-06 02:00:00,0
2017-01-06 03:00:00,0
2017-01-06 04:00:00,0
2017-01-06 05:00:00,0
2017-01-06 06:00:00,0
2017-01-06 07:00:00,0
2017-01-06 08:00:00,0
2017-01-06 09:00:00,0
2017-01-06 10:00:00,0
2017-01-06 11:00:00,0
2017-01-06 12:00:00,0
2017-01-06 13:00:00,6.66908503
2017-01-06 14:00:00,34.216835
2017-01-06 15:00:00,96.3458633
2017-01-06 16:00:00,178.54393
2017-01-06 17:00:00,253.007767
2017-01-06 18:00:00,307.287567
2017-01-06 19:00:00,319.013275
2017-01-06 20:00:00,299.756195
2017-01-06 21:00:00,240.612595
2017-01-06 22:00:00,159.183746
2017-01-06 23:00:00,76.0562744
2017-01-07 00:00:00,13.1192122
2017-01-07 01:00:00,0.00262453826
2017-01-07 02:00:00,0
2017-01-07 03:00:00,0
2017-01-07 04:00:00,0
2017-01-07 05:00:00,0
2017-01-07 06:00:00,0
2017-01-07 07:00:00,0
2017-01-07 08:00:00,0
2017-01-07 09:00:00,0
2017-01-07 10:00:00,0
2017-01-07 11:00:00,0
2017-01-07 12:00:00,0
2017-01-07 13:00:00,5.68224812
2017-01-07 14:00:00,38.6833115
2017-01-07 15:00:00,120.904518
2017-01-07 16:00:00,212.509689
2017-01-07 17:00:00,293.559692
2017-01-07 18:00:00,352.917175
2017-01-07 19:00:00,358.458466
2017-01-07 20:00:00,330.312225
2017-01-07 21:00:00,251.287109
2017-01-07 22:00:00,157.356003
2017-01-07 23:00:00,64.4742126
2017-01-08 00:00:00,9.21134186
2017-01-08 01:00:00,0.00413361937
2017-01-08 02:00:00,0
2017-01-08 03:00:00,0
2017-01-08 04:00:00,0
2017-01-08 05:00:00,0
2017-01-08 06:00:00,0
2017-01-08 07:00:00,0
2017-01-08 08:00:00,0
2017-01-08 09:00:00,0
2017-01-08 10:00:00,0
2017-01-08 11:00:00,0
2017-01-08 12:00:00,0
2017-01-08 13:00:00,10.0694466
2017-01-08 14:00:00,52.5495491
2017-01-08 15:00:00,140.119141
2017-01-08 16:00:00,234.254135
2017-01-08 17:00:00,314.41748
2017-01-08 18:00:00,359.432404
2017-01-08 19:00:00,362.557159
2017-01-08 20:00:00,331.78833
2017-01-08 21:00:00,246.591797
2017-01-08 22:00:00,154.977478
2017-01-08 23:00:00,66.4393845
2017-01-09 00:00:00,9.98589325
2017-01-09 01:00:00,0.00969390385
2017-01-09 02:00:00,0
2017-01-09 03:00:00,0
2017-01-09 04:00:00,0
2017-01-09 05:00:00,0
2017-01-09 06:00:00,0
2017-01-09 07:00:00,0
2017-01-09 08:00:00,0
2017-01-09 09:00:00,0
2017-01-09 10:00:00,0
2017-01-09 11:00:00,0
2017-01-09 12:00:00,0
2017-01-09 13:00:00,9.46292782
2017-01-09 14:00:00,47.3819885
2017-01-09 15:00:00,125.803795
2017-01-09 16:00:00,213.073456
2017-01-09 17:00:00,289.837952
2017-01-09 18:00:00,332.468292
2017-01-09 19:00:00,339.088257
2017-01-09 20:00:00,313.795013
